Length,3rd,5th,10th,25th,50th,75th,90th,95th,98th
91,10.7058,11.0296,11.375,11.9865,12.7205,13.5182,14.2965,14.7922,15.3001
91.5,10.8089,11.1361,11.485,12.1027,12.8443,13.6502,14.4366,14.9375,15.4506
92,10.9121,11.2425,11.595,12.219,12.9681,13.7823,14.5767,15.0828,15.6012
92.5,11.0153,11.349,11.7051,12.3353,13.092,13.9144,14.717,15.2282,15.752
93,11.1182,11.4553,11.8149,12.4515,13.2158,14.0466,14.8574,15.3738,15.903
93.5,11.2212,11.5616,11.9248,12.5678,13.3399,14.1792,14.9983,15.5201,16.0547
94,11.3243,11.6681,12.035,12.6844,13.4643,14.3121,15.1396,15.6667,16.2069
94.5,11.4279,11.7751,12.1456,12.8015,13.5892,14.4456,15.2814,15.814,16.3597
95,11.5316,11.8823,12.2565,12.919,13.7146,14.5797,15.4241,15.9621,16.5135
95.5,11.6358,11.9899,12.3679,13.0371,13.8408,14.7147,15.5679,16.1115,16.6687
96,11.7404,12.0981,12.4798,13.1557,13.9676,14.8505,15.7124,16.2617,16.8246
96.5,11.8457,12.207,12.5925,13.2752,14.0953,14.9872,15.858,16.4129,16.9817
97,11.9516,12.3164,12.7058,13.3955,14.2239,15.1249,16.0048,16.5656,17.1403
97.5,12.0584,12.4269,12.8202,13.5168,14.3537,15.264,16.1531,16.7197,17.3005
98,12.166,12.5383,12.9356,13.6393,14.4848,15.4046,16.303,16.8756,17.4626
98.5,12.2746,12.6507,13.052,13.763,14.6174,15.5469,16.4549,17.0337,17.627
99,12.385,12.7649,13.1704,13.8887,14.7519,15.6912,16.6087,17.1937,17.7934
99.5,12.4964,12.8802,13.2899,14.0158,14.8882,15.8376,16.7651,17.3565,17.9628
100,12.6098,12.9976,13.4116,14.1451,15.0267,15.9862,16.9238,17.5216,18.1346
100.5,12.7247,13.1166,13.535,14.2764,15.1676,16.1377,17.0857,17.6902,18.3102
101,12.8417,13.2378,13.6606,14.4099,15.3108,16.2915,17.25,17.8613,18.4882
101.5,12.9605,13.3608,13.7882,14.5456,15.4564,16.448,17.4173,18.0356,18.6696
102,13.0811,13.4857,13.9178,14.6836,15.6046,16.6074,17.5879,18.2133,18.8547
102.5,13.2039,13.613,14.0498,14.8241,15.7553,16.7694,17.7611,18.3936,19.0425
103,13.3285,13.7421,14.1838,14.9668,15.9087,16.9346,17.9378,18.5779,19.2346
103.5,13.4553,13.8735,14.3201,15.1119,16.0645,17.1022,18.1172,18.7648,19.4292
104,13.5839,14.0068,14.4585,15.2593,16.2229,17.2728,18.2997,18.9551,19.6275
104.5,13.7142,14.1419,14.5987,15.4088,16.3837,17.446,18.4853,19.1487,19.8293
105,13.8467,14.2793,14.7413,15.5608,16.547,17.6218,18.6736,19.3449,20.0339
105.5,13.9811,14.4186,14.886,15.715,16.7129,17.8006,18.8651,19.5447,20.2421
106,14.1173,14.5599,15.0328,15.8716,16.8814,17.9823,19.0599,19.7479,20.4541
106.5,14.2561,14.7038,15.1822,16.0308,17.0527,18.1669,19.2577,19.9542,20.6693
107,14.3968,14.8498,15.3339,16.1927,17.2269,18.3548,19.4591,20.1644,20.8885
107.5,14.5399,14.9982,15.488,16.3571,17.4039,18.5457,19.6638,20.378,21.1113
108,14.685,15.1489,15.6446,16.5242,17.5839,18.74,19.8723,20.5956,21.3384
108.5,14.8328,15.3022,15.8038,16.6941,17.7668,18.9372,20.0838,20.8164,21.5687
109,14.9826,15.4576,15.9654,16.8666,17.9526,19.1378,20.299,21.0411,21.8032
109.5,15.1346,15.6154,16.1293,17.0417,18.1412,19.3414,20.5175,21.2692,22.0412
110,15.2887,15.7753,16.2955,17.2191,18.3324,19.5478,20.7391,21.5005,22.2827
